platform,region,feedback_text,clean_feedback_text,issue_category,star_rating,review_source,urgency,word_count
revolut,unknown,"getting fed up of the random over reach by scanning my face and passport, leave me alone my passport doesn't expire for another 5 years don't bother asking me again","getting fed up of the random over reach by scanning my face and passport, leave me alone my passport doesn't expire for another 5 years don't bother asking me again",kyc,2,playstore,Medium,30
revolut,unknown,"when I urgently needed to send money immediately, the app said it would take 2 days. I couldn't even cancel the transaction to try another form of transfer. It's been 2 days and the transfer still hasn't gone through. It's caused me a lot of problems.","when i urgently needed to send money immediately, the app said it would take 2 days. i couldn't even cancel the transaction to try another form of transfer. it's been 2 days and the transfer still hasn't gone through. it's caused me a lot of problems.",transaction_issues,1,playstore,High,46
revolut,unknown,I cannot set to be asked for my permission on every internet transation that I make using Revolut card. This would be basic level security.,i cannot set to be asked for my permission on every internet transation that i make using revolut card. this would be basic level security.,account_access_&_security_issues,1,playstore,High,25
revolut,unknown,"8 duplicate transactions from 3 merchants in 1 day. After a few hours wasted dealing with chat asst and submitting forms revolut still declined to reverse them. Went down personally to all the merchants to sort it out. However, deductions were made late at night when they were closed. One even showed me their system - no transactions billed to me! So they cannot refund Yet, these transactions recur every few days, and my card was terminated as a result, so I've no card to use and short on cash.","8 duplicate transactions from 3 merchants in 1 day. after a few hours wasted dealing with chat asst and submitting forms revolut still declined to reverse them. went down personally to all the merchants to sort it out. however, deductions were made late at night when they were closed. one even showed me their system - no transactions billed to me! so they cannot refund yet, these transactions recur every few days, and my card was terminated as a result, so i've no card to use and short on cash.",cards_&_payment_instruments,1,playstore,High,90
revolut,unknown,"3 times now someone has tried to fraudulently spend money from my account. My card details have not been compromised by myself. I have not been a victim of fraud/phishing, so I cannot fathom how this has occurred. Revolut have blamed me. Still waiting to hear back from them. Won't hold my breath.","3 times now someone has tried to fraudulently spend money from my account. my card details have not been compromised by myself. i have not been a victim of fraud/phishing, so i cannot fathom how this has occurred. revolut have blamed me. still waiting to hear back from them. won't hold my breath.",account_access_&_security_issues,1,playstore,High,53
revolut,unknown,"Trash developers. I started a free trial for Revolut premium, and it tried to charge me 15aud and said it's a card fee. But I didn't order any premium card. I spent over 30 minutes on negotiating with support agents and finally cancelled my trial without being charged","trash developers. i started a free trial for revolut premium, and it tried to charge me 15aud and said it's a card fee. but i didn't order any premium card. i spent over 30 minutes on negotiating with support agents and finally cancelled my trial without being charged",cards_&_payment_instruments,2,playstore,High,48
revolut,germany,"To get a German IBAN, I had to close my old account. This forced me to sell all crypto, paying fees on every transaction and losing money. I even had to beg useless AI support bots to clear zero-value ""dust"" coins to proceed. After all this effort, I can't verify! Revolut rejects valid European NFC IDs if they lack a physical signature. I'm locked out, yet they spam me daily with notifications to verify. A costly, broken process. Another popular bank verified my ID with no issues.","to get a german iban, i had to close my old account. this forced me to sell all crypto, paying fees on every transaction and losing money. i even had to beg useless ai support bots to clear zero-value ""dust"" coins to proceed. after all this effort, i can't verify! revolut rejects valid european nfc ids if they lack a physical signature. i'm locked out, yet they spam me daily with notifications to verify. a costly, broken process. another popular bank verified my id with no issues.",kyc,1,playstore,Medium,87
revolut,unknown,"Avoid this misleading bank at all cost. They are very misleading and unreliable. The transaction (transfer/payment) that they referred as est. to be completed today is voila in reality not updated within the day, would be left pending and then when you contact their support, they will just then tell you it may take 15 business days.No one will give you a concrete solution. Stay away esp. if you have urgent transactions or else you will just have headache.I wish I can rate zero or negative.","avoid this misleading bank at all cost. they are very misleading and unreliable. the transaction (transfer/payment) that they referred as est. to be completed today is voila in reality not updated within the day, would be left pending and then when you contact their support, they will just then tell you it may take 15 business days.no one will give you a concrete solution. stay away esp. if you have urgent transactions or else you will just have headache.i wish i can rate zero or negative.",transaction_issues,1,playstore,High,86
revolut,unknown,can't get any price information on e Sim without supplying all of your personal data. lengthy process for zero result. gave up halfway through,can't get any price information on e sim without supplying all of your personal data. lengthy process for zero result. gave up halfway through,kyc,1,playstore,Medium,24
revolut,unknown,Dreadful service.. Left me in a right mess while abroad while customer services passed me from pillar to post.. Lied to me and ended chats and calls while I was on hold... Spent 4 hours in a hotel lobby and not one person from revolut would take ownership or help... Opened a complaint when I eventually got home only for it to be closed down to their satisfaction... Found another supplier... Never trust or use again.,dreadful service.. left me in a right mess while abroad while customer services passed me from pillar to post.. lied to me and ended chats and calls while i was on hold... spent 4 hours in a hotel lobby and not one person from revolut would take ownership or help... opened a complaint when i eventually got home only for it to be closed down to their satisfaction... found another supplier... never trust or use again.,customer_support_experience,1,playstore,Medium,76
